Description,Code,SKU,UOM,Resource Type,Expense Item (by Default)
PU MATT 10% H86010 - 8282 - ICA,00-50003258,,Litre,Inventory Item,Cost of Materials
PU MATT 10% H86010 - NCSS 2002G - ICA,00-50003461,,Kg,Inventory Item,Cost of Materials
PU MATT 10% H86010 - NCSS 2002Y - ICA,00-50003460,,Kg,Inventory Item,Cost of Materials
PU MATT FULL 7184 A - OP550G10 - ICA,00-50002654,,Litre,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS - FR,00-50003324,,Litre,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS J.T.N 0394 - KAS 2225,00-50002498,,Gallon,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS J.T.N 1929 - KAS 1172,00-50002497,,Gallon,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS J.T.N 2363 - KAS 2224,00-50002499,,LTR,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS WOOD SMOKE 0568 - ICA,00-50003884,,LTR,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS WOOD SMOKE 0568 - JOTUN,00-50003606,,LTR,Inventory Item,Cost of Materials
PU PAINT BREEZE 10% GLOSS - 0552,00-50004025,,Litre,Inventory Item,Cost of Materials
PU PAINT BROWN,00-50001121,,Litre,Inventory Item,Cost of Materials
PU PAINT FULL MATT J.T.N - KAS 2224,00-50002675,,LTR,Inventory Item,Cost of Materials
PU PAINT GREEN 10% GLOSS - VIJ-201 - ZEAL,00-50003838,,Litre,Inventory Item,Cost of Materials
PU PAINT JTN-1359 MACCHIATO,00-50004013,,LTR,Inventory Item,Cost of Materials
PU PAINT OFF-WHITE 10% GLOSS - VIJ-200 - ZEAL,00-50003837,,Litre,Inventory Item,Cost of Materials
PU PAINT ORANGE 10% GLOSS - VIJ-204 - ZEAL,00-50003839,,Litre,Inventory Item,Cost of Materials
PU PAINT RAL-1015 (IVORY LIGHT),00-50002298,,LTR,Inventory Item,
PU PAINT RAL-1019,00-50003610,,LTR,Inventory Item,Cost of Materials
PU PAINT RAL-7016 10% MATT,00-50003443,,LTR,Inventory Item,Cost of Materials
PU PAINT RAL-9010 10% MATT,00-50003130,,LTR,Inventory Item,Cost of Materials
PU PAINT RAL-9010 PURE WHITE DELUXE MATT - EMULSION,00-50003221,,Drum,Inventory Item,Cost of Materials
PU PAINT RAL-9911 PLATINUM,00-50003098,,LTR,Inventory Item,
PU PAINT WHITE 10% GLOSS,00-50001839,,Litre,Inventory Item,Cost of Materials
PU PAINT WHITE 10% MATT,00-50002817,,Litre,Inventory Item,Cost of Materials
PU PAINT WOOD SMOKE 0568 - JOTUN,00-50003409,,LTR,Inventory Item,Cost of Materials
PU SLOW DRY THINNER D1079,00-50003463,,LTR,Inventory Item,Cost of Materials
PU THINNER P730 - ICA,00-50001405,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT CLEAR 10% GLOSS,00-50003165,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT CLEAR 10% GLOSS - ANTI SCRATCH,00-50001762,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT CLEAR 30% GLOSS,00-50001620,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT PAINT FR WHITE 10% GLOSS,00-50003599,,Kg,Inventory Item,
RAW SIENNA POWDER DRY,00-50001687,,Kg,Inventory Item,Cost of Materials
"SANDING CLOTH GRIT ROLL120X4.5"" APPLE",00-50003359,,Roll,Inventory Item,Cost of Materials
SANDING PAPER P600 X 4.5'' - BELMONT,00-50003360,,Pkt,Inventory Item,Cost of Materials
TURKEY UMBER POWDER,00-50002656,,Kg,Inventory Item,Cost of Materials
TURPENTINE OIL ,00-50001685,,Gallon,Inventory Item,Cost of Materials
WHITE PAINT - WATER BASED,00-50003943,,Drum,Inventory Item,Cost of Materials
WOOD BLEACH - PART A,00-50001683,,Litre,Inventory Item,Cost of Materials
WOOD BLEACH - PART B,00-50001684,,Litre,Inventory Item,Cost of Materials
WOOD PRESERVATIVE CLEAR,00-50003284,,LTR,Inventory Item,Cost of Materials
YACHT PU ULTRA CLEAR VARNISH EXTRA GLOSS F6501632 - SADOLIN,00-50001869,,Gallon,Inventory Item,Cost of Materials
Plumbing,00-50001265,,,,
25MM GATE VALVE,00-50003247,,Nos.,Inventory Item,
25MM PPR ELBOW,00-50001829,,Nos.,Inventory Item,
25MM PPR SOCKET,00-50001828,,Nos.,Inventory Item,Other Operating Expenses
25MM PPR TEE,00-50001830,,Nos.,Inventory Item,
25MM PPR UNION,00-50003248,,Nos.,Inventory Item,
AIR COUPLING SOCKET 1/2 - BRASS ,00-50001831,,Nos.,Inventory Item,Other Operating Expenses
"DRAIN COVER 4"" - METAL",00-50002597,,Nos,Inventory Item,
PPR PIPE 32MM,00-50001827,,Nos.,Inventory Item,
PPR SOCKET 32 X 25,00-50001832,,Nos.,Inventory Item,
PPR TEE 32MM,00-50001834,,Nos.,Inventory Item,
"PVC MALE SOCKET 2/3""",00-50001267,,Nos,Inventory Item,Cost of Materials
"PVC MALE SOCKET 3/4""",00-50001268,,Nos,Inventory Item,Cost of Materials
"PVC TEE 3""",00-50002930,,Nos.,Inventory Item,
TEFLON TAPE,00-50001833,,Nos.,Inventory Item,Other Operating Expenses
WC FULL SET,00-50002595,,Set,Inventory Item,
Tools,00-50001104,,,,
08MM BORING BIT (L) 70MM,00-50002911,,Nos.,Inventory Item,Cost of Materials
08MM BORING BIT (R) 70MM,00-50002912,,Nos.,Inventory Item,Cost of Materials
10MM BORING BIT (L) 70MM,00-50002913,,Nos.,Inventory Item,Cost of Materials
10MM BORING BIT (R) 70MM,00-50002914,,Nos.,Inventory Item,Cost of Materials
12MM THK SHARPENING STONE 200 DIA - BLACK,00-50001875,,Nos.,Inventory Item,Cost of Materials
AIR BLOWER - GEEPAS,00-50002037,,Nos,Inventory Item,Cost of Materials
AIR NOZZLE - ES 14 NA,00-50002182,,Pkt.,Inventory Item,Cost of Materials
AIR NOZZLE - ES 14 NI,00-50002180,,Pkt.,Inventory Item,Cost of Materials
AIR NOZZLE - ES 38 NA,00-50002183,,Pkt.,Inventory Item,Cost of Materials
AIR NOZZLE - ES 6S,00-50002184,,Pkt.,Inventory Item,Cost of Materials
AIR NOZZLE - ES 9S,00-50002181,,Pkt.,Inventory Item,Cost of Materials
AIR NOZZLE - ES 9T,00-50003475,,Pkt.,Inventory Item,Cost of Materials
AIR NOZZLE - ES DN 7.2,00-50002179,,Pkt.,Inventory Item,Cost of Materials
BORING BITS (14D.200),00-50002614,,Nos.,Inventory Item,
"BOSUN DUCT FAN 12""",00-50001105,,Nos.,Inventory Item,Machinery
"BOSUN DUCT FAN HOSE 12"" X 5MTR",00-50001106,,Mtr,Inventory Item,Cost of Materials
CHAMFER BIT - CMT 936.950.11,00-50001688,,PCS,Inventory Item,Other Operating Expenses
CHIPBOARD CUTTING BLADE - 300 DIA - CMT - 278.028.12,00-50002963,,Nos.,Inventory Item,
CHIPBOARD CUTTING BLADE - 305 DIA - CMT - K30560M (COMB13),00-50001938,,Nos.,Inventory Item,
CNC GROOVE CUTTER BLADE - D120X3X35+4+2 MAX 12.000,00-50002500,,Nos.,Inventory Item,Cost of Materials
CNC GROOVE CUTTER BLADE - L117 GA3 120.000X3.20X20.00 Z30,00-50002962,,Nos.,Inventory Item,Cost of Materials
"CNC GROOVING BIT DIA 6X10 S=6, Z=1+1 NEG.RH",00-50003052,,Nos.,Inventory Item,Cost of Materials
COLLET - 184.042.00 - 4MM - FOR CNC,00-50003804,,Nos.,Inventory Item,Cost of Materials
COLLET - 184.062.00 - 6MM - FOR CNC,00-50003805,,Nos.,Inventory Item,Cost of Materials
COLLET UNIT ASSEMBLY FOR TOOL WITH HSK F63 COUPLING - FOR CNC,00-50003803,,Nos.,Inventory Item,Cost of Materials
CORDLESS AIR BLOWER INCLUDING CHARGER,00-50003502,,Set,Inventory Item,Cost of Materials
DIAMOND STONE SHARPENING,00-50001878,,Nos.,Inventory Item,Cost of Materials
DIGITAL MOISTURE METER FOR WOOD,00-50001641,,Nos,Inventory Item,Other Operating Expenses
DRILL BIT - TILE - 06MM,00-50003410,,No.,Inventory Item,Cost of Materials
DRILL BIT - TILE - 08MM,00-50003411,,No.,Inventory Item,Cost of Materials
Drill Bit 08MM,00-50001689,,Pkt.,Inventory Item,Other Operating Expenses
DRILL BIT 10MM,00-50002846,,Pkt.,Inventory Item,Cost of Materials
Drill Bit 12MM,00-50001690,,Pkt.,Inventory Item,
DRILL BIT 14MMX150MM,00-50003676,,Nos.,Inventory Item,
DRILL BIT 2.5MM,00-50003587,,Pkt.,Inventory Item,
DRILL BIT 2MM,00-50003588,,Pkt.,Inventory Item,
DRILL BIT 4.5MM,00-50002841,,Pkt.,Inventory Item,Cost of Materials
DRILL BIT 4MM,00-50002840,,Pkt.,Inventory Item,Cost of Materials
DRILL BIT 5MM,00-50002842,,Pkt.,Inventory Item,Cost of Materials
DRILL BIT 6MM,00-50002843,,Pkt.,Inventory Item,Cost of Materials
DRILL BIT 7.5MM,00-50002844,,Pkt.,Inventory Item,Cost of Materials
DRILL BIT 8MM,00-50002845,,Pkt.,Inventory Item,Cost of Materials
FULL SPIRAL BIT-UP CUT (9E.100.A),00-50002613,,Nos.,Inventory Item,
HMT HW MULTI-RIPPING SAW BLADE WITH RAKERS 350x3.5/2.5x70+2KW Z=24+6,00-50001794,,Nos.,Inventory Item,Other Operating Expenses
HOLE SAW SET - 40MM,00-50002242,,Set,Inventory Item,Cost of Materials
HOLE SAW SET - 50MM,00-50002241,,Set,Inventory Item,Cost of Materials
HOLE SAW SET - 60MM,00-50002240,,Set,Inventory Item,Cost of Materials
HSK F63 CHUCKS FOR ER40 - FOR CNC,00-50003806,,Nos.,Inventory Item,Cost of Materials
HSS DRILL BIT 3.5MM-UKEN,00-50002145,,Pkt.,Inventory Item,
HSS DRILL BIT 3MM-UKEN,00-50002217,,Pkt.,Inventory Item,Cost of Materials
"HW PLANER KNIFE BULLDOZER 130X13,6X1,8(TRF03.HW13.0130)",00-50001783,,Nos.,Inventory Item,Other Operating Expenses
KEISER PNEUMATIC AIRLESS MACHINE-KPP301,00-50002607,,Nos.,Inventory Item,
KT TTN TRADE TIP 311,00-50002608,,Nos.,Inventory Item,
KT TTN TRADE TIP 313,00-50002609,,Nos.,Inventory Item,
KT TTN TRADE TIP 315,00-50002610,,Nos.,Inventory Item,
LEITZ AS Sawblade HW: 200x3x35 Z24 - L200.163107,00-50001791,,Nos.,Inventory Item,Other Operating Expenses
"LEITZ Grooving Cutter HW: 150X3.5X30,Z12,FZ (20251)",00-50001790,,Nos.,Inventory Item,Other Operating Expenses
LEITZ HSS PLANNER KNIVES 260X30X3MM,00-50001782,,Nos.,Inventory Item,Other Operating Expenses
LEITZ Turnblade Knife (Spur) HW: 14x14x2 (5099),00-50001788,,Nos.,Inventory Item,Other Operating Expenses
LEITZ Turnblade Knife HW: 20X12X1.5 (5083),00-50001787,,Nos.,Inventory Item,Other Operating Expenses
MAKITA 4100NH MARBLE CUTTER,00-50003761,,Nos.,Inventory Item,
"MAKITA B-65698 DISC SANDER 9227C/9237CB, 7 INCHES",00-50003582,,Nos.,Inventory Item,Cost of Materials
MAKITA CORDLESS JIGSAW DJV182RTJ,00-50003672,,Nos.,Inventory Item,
MAKITA CORDLESS LAMINATE TRIMMER DRT50Z,00-50003671,,Nos.,Inventory Item,
MAKITA CORDLESS PLUNGE ROUTER RP001GZ,00-50003673,,Nos.,Inventory Item,
"MAKITA MT SERIES BLUE M9200B - 1/4 SHEET FINISHING SANDER, 180W",00-50003581,,Nos.,Inventory Item,Cost of Materials
MAKITA ROUTER RP2300 FC,00-50002602,,Nos.,Inventory Item,
MAKITA SLIDE MITER SAW-LS1019L,00-50003644,,Nos.,Inventory Item,
MAKITA TRIMMER 3700B,00-50003825,,Nos.,Inventory Item,Cost of Materials
MAKITA TRIMMER 3709,00-50002603,,Nos.,Inventory Item,
MANUAL STACKER 2 TON - LIFTING HEIGHT 1.6 MTR,00-50003467,,No.,Inventory Item,Cost of Materials
MDF CUTTING BLADE - 300 DIA - FRUED - LU1H0900,00-50001801,,Nos.,Inventory Item,Other Operating Expenses
MDF CUTTING BLADE - 300 DIA - FRUED - LU3D0600,00-50001800,,Nos.,Inventory Item,Other Operating Expenses
MDF CUTTING BLADE - 350 DIA - FRUED - LG3D0900,00-50001802,,Nos.,Inventory Item,Other Operating Expenses
MULTI RIP SAW BLADE - 350 DIA - CMT - 279.028.14V,00-50002905,,Nos.,Inventory Item,
PLANNER KNIVES 520X35X3MM - DIAMOND,00-50001835,,Nos.,Inventory Item,
PNEUMATIC SANDER MACHINE,00-50002725,,Nos.,Inventory Item,
ROUTER BIT - MAKITA - 12740,00-50002920,,Nos.,Inventory Item,
ROUTER BIT - MAKITA - PND12223,00-50003906,,Nos.,Inventory Item,
ROUTER BIT - MAKITA - PND13683,00-50001804,,Nos.,Inventory Item,Other Operating Expenses
ROUTER BUSH,00-50003450,,No.,Inventory Item,Cost of Materials
SHARPENING STONE - EN12413 - BLACK,00-50001876,,Nos.,Inventory Item,Cost of Materials
SPINNER SET,00-50003509,,Set,Inventory Item,
SPRAY GUN MEIJI S25,00-50002726,,Nos.,Inventory Item,
STAR BIT 65MM,00-50003678,,Pkt,Inventory Item,
STRAIGHT BIT K-911-200 - CMT,00-50002871,,Nos.,Inventory Item,Cost of Materials
STRAIGHT BIT WITH CENTER TIP - 174.140.11 - CMT,00-50001871,,Nos.,Inventory Item,Cost of Materials
TAPPING SET 8MM WITH HANDLE,00-50003646,,Set,Inventory Item,
TCT FINGER PULL BIT 955.103.11,00-50003679,,Nos.,Inventory Item,
TRIMMER RT0702C - MAKITA ,00-50003855,,Nos.,Inventory Item,
TWT GARNIGA BULDOZER KNIFE (T-TRF03.HW13.0180),00-50001785,,Nos.,Inventory Item,
TWT GARNIGA KNIFE HW: 80X13X2.2 (T-TRF01.1215.A080),00-50001786,,Nos.,Inventory Item,
TWT Garniga Special Grooving insert for Planning cutters (T-91011168) - 6mm Grooving,00-50001784,,Nos.,Inventory Item,Other Operating Expenses
TWT GARNIGA Special Knifes for jolly cutter (T-PO24415) 20mm Grooving Knife,00-50001789,,Nos.,Inventory Item,
TWT PROFILED KNIFE TYPE-G 15X25X2-DX16606,00-50001792,,Nos.,Inventory Item,Other Operating Expenses
TWT PROFILED KNIFE TYPE-G 15X25X2-SX16606,00-50001793,,Nos.,Inventory Item,Other Operating Expenses
WAGNER INLINE FILTER INSERT,00-50002611,,Nos.,Inventory Item,
WOOD CUTTING BLADE - 250 DIA - CMT - 285.040.10M,00-50001803,,Nos.,Inventory Item,Other Operating Expenses
WOOD CUTTING BLADE - 300 DIA - FRUED - LU1A0200,00-50001798,,Nos.,Inventory Item,Other Operating Expenses
WOOD CUTTING BLADE - 350 DIA - FRUED - LU1D0500,00-50001799,,Nos.,Inventory Item,Other Operating Expenses
Uniform,00-50001177,,,,
CARGO TROUSER PANTS,00-50001178,,Nos,Inventory Item,Cost of Materials
SAFETY JACKET - NEON YELLOW - SPACE BUILDERS - SIZE: L,00-50003500,,Nos,Inventory Item,Cost of Materials
SAFETY JACKET - NEON YELLOW - SPACE BUILDERS - SIZE: MEDIUM,00-50003853,,Nos,Inventory Item,Cost of Materials
SAFETY JACKET - NEON YELLOW - SPACE BUILDERS - SIZE: XL,00-50003501,,Nos,Inventory Item,Cost of Materials
SAFETY SHOE NO: 39,00-50001206,,Pair,Inventory Item,Other Operating Expenses
SAFETY SHOE NO: 40,00-50002690,,Pair,Inventory Item,
SAFETY SHOE NO: 41,00-50001200,,Pair,Inventory Item,Other Operating Expenses
SAFETY SHOE NO: 42,00-50001201,,Pair,Inventory Item,Other Operating Expenses
SAFETY SHOE NO: 43,00-50001203,,Pair,Inventory Item,Other Operating Expenses
SAFETY SHOE NO: 44,00-50001204,,Pair,Inventory Item,Other Operating Expenses
SAFETY SHOE NO: 45,00-50001205,,Pair,Inventory Item,Other Operating Expenses
SAFETY SHOE NO: 46,00-50003151,,Pair,Inventory Item,Cost of Materials
Upholstery,00-50000360,,,,
DECRON POLYESTER FIBER 10MM,00-50003383,,Roll,Inventory Item,Cost of Materials
DECRON POLYESTER FIBER 20MM,00-50002594,,Roll,Inventory Item,Cost of Materials
DECRON ROLL 1CM,00-50003737,,Kg,Inventory Item,
FABRIC - 151/21 ZANZIBAR - I,00-50001872,,Mtr,Inventory Item,Cost of Materials
FABRIC - F12 - CODE: M9015-13A,00-50001259,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: 008921 - ROSENHOLZ - VOWA CONTINENTAL COLLECTIONS,00-50003427,,Mtr,Inventory Item,Cost of Materials
"FABRIC CODE: 2137, VOWA 10MM THK, COLOR CODE: 3333 - AL AHAD CURTAINS",00-50003549,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: 2205-15,00-50003055,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: 7025 - AL REYAMI,00-50003446,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: CAT NO-201 - SR#18 - QASR AL SARAYA,00-50002787,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: CAT NO-201 - SR#97 - QASR AL SARAYA,00-50002786,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: M9015-15A,00-50001931,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: M9015-16B,00-50001930,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: M9015-41A,00-50001932,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: PVC-67 - VOWA,00-50003601,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: SYTHETIC LEATHER 003340 - VOWA,00-50003966,,Mtr,Inventory Item,Cost of Materials
FABRIC CODE: SYTHETIC LEATHER 005439 - VOWA,00-50004002,,Mtr,Inventory Item,Cost of Materials
FABRIC THREAD - 20/3 2000Y 90109 H8784500,00-50002221,,Nos.,Inventory Item,Cost of Materials
FABRIC THREAD - WHITE 20/3 2000Y H9383000,00-50003868,,Nos.,Inventory Item,Cost of Materials
GREY BOARD 1000 GSM,00-50000955,,Year,Inventory Item,Cost of Materials
HOOK AND LOOP DOUBLE SIDED TAPE,00-50003114,,Roll,Inventory Item,Cost of Materials
MESH FABRIC - BLACK COLOUR,00-50001623,,Mtr,Inventory Item,Cost of Materials
POLYESTER YARN 150D / 48F - 1 KG - WHITE,00-50002592,,Nos.,Inventory Item,Cost of Materials
POLYESTER YARN 20/3 2000Y - H9383000 - WHITE,00-50002593,,Nos.,Inventory Item,Cost of Materials
ZIP NO-3 WHITE,00-50003738,,Roll,Inventory Item,
Wood,00-50000359,,,,
Laminate,00-50000369,,,,
0.8MMX4X8 LAMINATE FRC098ST-KALLEGRA,00-50003781,,SHEET,Inventory Item,
18MM X 2200 X 2800 B/S MELAMINE H1715 ST12 PARONA WALNUT,00-50003698,,SHEET,Inventory Item,
2440x1220x6mm MR MDF B/S MELAMINE WHITE,00-50003691,,SHEET,Inventory Item,
4X8 BACKING LAMINATE,00-50003309,,SHEET,Inventory Item,Cost of Materials
4X8X.8MM LAMINATE SDL-10122SUD,00-50003745,,SHEET,Inventory Item,
4X8X0.8MM  HPL LAMINATE SF10378 - THICKET WALNUT - WOODSTOCK,00-50001795,,SHEET,Inventory Item,Cost of Materials
HPL LAMINATE 4X8X0.9MM- 1944 SEI (ABET LAMINATI),00-50001093,,SHEET,Inventory Item,Cost of Materials
LAMINATE H1715 ST12 PARONA WALNUT,00-50003682,,SHEET,Inventory Item,
MELAMINE 4X8X12MM B/S FANCY WALNUT MF-365,00-50003693,,SHEET,Inventory Item,
MELAMINE 4X8X18MM B/S FANCY WALNUT MF-365,00-50003684,,SHEET,Inventory Item,
MELAMINE 4X8X6MM B/S FANCY WALNUT MF-365,00-50003685,,SHEET,Inventory Item,
PVC LIPPING 1MMX22MM SDL10122,00-50003746,,LM,Inventory Item,
PVC LIPPING 1MMX22MM SDL-10206SSR,00-50003747,,LM,Inventory Item,
Mdf,00-50000368,,,,
2440 x 1220 x 18mm MR MDF 1/S MELAMINE W2051-T09 & 1/S MELAMINE P1001-T03 ,00-50001166,,SHEET,Inventory Item,Cost of Materials
2440 x 1220 x 18mm NORMAL MDF 1/S MELAMINE W2051-T09 & 1/S MELAMINE P1001-T03 ,00-50001942,,SHEET,Inventory Item,Cost of Materials
2440x1220x09mm MR MDF B/S MELAMINE WHITE P1001-T03,00-50002837,,SHEET,Inventory Item,Cost of Materials
2440x1220x09mm NORMAL MDF B/S MELAMINE WHITE P1001-T03,00-50002826,,SHEET,Inventory Item,Cost of Materials
2440x1220x12mm MR MDF 1/S MELAMINE WHITE P1001-T03,00-50001973,,SHEET,Inventory Item,Cost of Materials
2440x1220x12mm MR MDF B/S MELAMINE WHITE P1001-T03,00-50001335,,SHEET,Inventory Item,Cost of Materials
2440x1220x12mm NORMAL MDF B/S MELAMINE WHITE P1001-T03,00-50001336,,SHEET,Inventory Item,Cost of Materials
2440x1220x18mm MR MDF B/S MELAMINE P1015-T03,00-50001248,,SHEET,Inventory Item,Cost of Materials
2440x1220x18mm MR MDF B/S MELAMINE W2051-T09 ,00-50001167,,SHEET,Inventory Item,Cost of Materials
2440x1220x18mm MR MDF B/S MELAMINE WHITE ,00-50003132,,SHEET,Inventory Item,Cost of Materials
2440x1220x18mm MR MDF B/S MELAMINE WHITE P1001-T03,00-50001245,,SHEET,Inventory Item,Cost of Materials
2440x1220x18mm NORMAL MDF B/S MELAMINE P1015-T03,00-50001975,,SHEET,Inventory Item,Cost of Materials
2440x1220x18mm NORMAL MDF B/S MELAMINE W2051-T09 ,00-50001946,,SHEET,Inventory Item,Cost of Materials
2440x1220x18mm NORMAL MDF B/S MELAMINE WHITE P1001-T03,00-50001246,,SHEET,Inventory Item,Cost of Materials
2440x1220x6mm MR MDF 1/S MELAMINE P1015-T03,00-50001974,,SHEET,Inventory Item,Cost of Materials
2440x1220x6mm MR MDF S/S MELAMINE P1001-T03 ,00-50001244,,SHEET,Inventory Item,Cost of Materials
2440x1220x6mm NORMAL MDF 1/S MELAMINE W2051-T09,00-50001953,,SHEET,Inventory Item,Cost of Materials
2440x1220x6mm NORMAL MDF S/S MELAMINE WHITE P1001-T03,00-50001247,,SHEET,Inventory Item,Cost of Materials
2800 x 1220 x 18mm MR MDF B/S MELAMINE P1015-T03 ,00-50001413,,SHEET,Inventory Item,Cost of Materials
2800 x 1220 x 18mm NORMAL MDF B/S MELAMINE P1015-T03 ,00-50001165,,SHEET,Inventory Item,Cost of Materials
4X8X06MM FR MDF ,00-50003390,,SHEET,Inventory Item,Cost of Materials
4x8x06mm FR MDF B/S MELAMINE WHITE ,00-50003395,,SHEET,Inventory Item,Cost of Materials
4X8X09MM FR MDF ,00-50003002,,SHEET,Inventory Item,Cost of Materials
4x8x09mm FR MDF B/S MELAMINE WHITE ,00-50003393,,SHEET,Inventory Item,Cost of Materials
4X8X12MM FR MDF ,00-50003001,,SHEET,Inventory Item,Cost of Materials
4x8x12mm FR MDF B/S MELAMINE WHITE ,00-50003394,,SHEET,Inventory Item,Cost of Materials
4X8X18MM FR MDF ,00-50000828,,SHEET,Inventory Item,Cost of Materials
4x8x18mm FR MDF B/S MELAMINE WHITE ,00-50003392,,SHEET,Inventory Item,Cost of Materials
4X8X18MM MELAMINE B/S LAM-1,00-50003668,,SHEET,Inventory Item,
6X12X12MM FR MDF - JUMBO,00-50003389,,SHEET,Inventory Item,Cost of Materials
6X12X18MM FR MDF - JUMBO,00-50003388,,SHEET,Inventory Item,Cost of Materials
Timber,00-50000366,,,,
"SOLID IROKO WOOD 2""X6""X8' & WIDER",00-50002823,,CFT,Inventory Item,
"SOLID WOOD IROKO 2""X10""X12' ",00-50002652,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD IROKO 2""X10""X8' ",00-50001130,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD IROKO 2""X8""X12' ",00-50002142,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 2""X10""X10' ",00-50001129,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 2""X10""X16' ",00-50003995,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 2""X10""X8' ",00-50002146,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 2""X10""X9' ",00-50002967,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 2""X7""X9' ",00-50003960,,PCS,Inventory Item,Cost of Materials
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 2""X8""X10' ",00-50004017,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 3""X7""X10' ",00-50003961,,CFT,Inventory Item,Cost of Materials
"WHITE WOOD 2""X3""X4MTR",00-50001006,,PCS,Inventory Item,
"WHITE WOOD 3""X3""X3MTR",00-50001420,,PCS,Inventory Item,Cost of Materials
"WHITE WOOD 3""X3""X4MTR",00-50003414,,PCS,Inventory Item,Cost of Materials
4X8X18MM  MR MDF WITH  2/S MELAMINE P1019 T-02 UNILAM,00-50001008,,SHEET,Inventory Item,Cost of Materials
4X8X6MM  MR MDF WITH 1/S MELAMINE  P1019 T-02 UNILAM,00-50000898,,SHEET,Inventory Item,Cost of Materials
"MAHOGANY WOOD 2""",00-50002740,,CFT,Inventory Item,
"SOLID BEECH WOOD 2""X10""X8' GRADE:AAA-KD",00-50001149,,CFT,Inventory Item,Cost of Materials
"SOLID BEECH WOOD 2""X15""X9' GRADE:AAA-KD",00-50003110,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD - MERANTI - 2""x10""x10'",00-50003366,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD - MERANTI - 2""x10""x12'",00-50001180,,Nos,Inventory Item,Cost of Materials
"SOLID WOOD - MERANTI - 2""x10""x9'",00-50003040,,Nos,Inventory Item,Cost of Materials
"SOLID WOOD - MERANTI - 2""x12""x10'",00-50003166,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD - SAPELE - 2""x6'' and wider, 8ft",00-50000798,,CFT,Inventory Item,Cost of Materials
"SOLID WOOD - SAPELE - 2""X8""X8'",00-50003464,,Nos.,Inventory Item,Cost of Materials
"SOLID WOOD 2""X10""X8'- SAPELE",00-50002712,,Nos.,Inventory Item,
0.7mm x 1220mm x 2440mm High Pressure Laminate Sheet - ACE MICA 5700 SF STRAIGHT WALNUT,00-50001646,,SHEET,Inventory Item,
08MM ANTI-REFLECTIVE ULTRA CRYSTAL CLEAR GLASS,00-50003298,,Nos,Inventory Item,Cost of Materials
08MM THK CLEAR TEMPERED GLASS,00-50003936,,Nos,Inventory Item,
100MM X 100MM -500 LABEL / ROLL - 1 CORE TTR LABEL,00-50001743,,Roll,Inventory Item,
10MM X 4C FLEXIBLE CABLE WHITE - DG-ITALICA,00-50003946,,Mtr,Inventory Item,
10MM X 5C FLEXIBLE CABLE WHITE - DG-ITALICA,00-50001898,,Mtr,Inventory Item,
10MM X 5C FLEXIBLE RR WIRE- WHITE,00-50001840,,Mtr,Inventory Item,Cost of Materials
110 X 300 MTRS -1 CORE PREMIUM RIBBON WAX OUT,00-50001744,,Roll,Inventory Item,
12MM CLEAR TEMPERED GLASS,00-50003347,,Nos,Inventory Item,Cost of Materials
12MM GLASS BRACKET,00-50003302,,No.,Inventory Item,Cost of Materials
12MMX4X8 ACRYLIC SHEET - CLEAR,00-50002763,,SHEET,Inventory Item,Cost of Materials
1482MM X 327MM X 6MM BLACK TINTED TEMPERED GLASS ,00-50002900,,Nos,Inventory Item,
